mhu-mlv[cms],stc-mlv[cms],eri-mlv[cms],scr-lev[m],det-lev[m],nia-lev[m]
176.7247,175.4413,174.5425,5720.0,6160.0,6250.0
176.728,175.4449,174.5469,5720.0,6160.0,6260.0
176.7312,175.4488,174.5512,5730.0,6160.0,6270.0
176.7344,175.4527,174.5555,5730.0,6170.0,6280.0
176.7376,175.4562,174.5598,5730.0,6170.0,6280.0
176.7408,175.4597,174.5641,5730.0,6170.0,6290.0
176.744,175.4635,174.5683,5740.0,6180.0,6300.0
176.7472,175.467,174.5725,5740.0,6180.0,6310.0
176.7504,175.4702,174.5767,5740.0,6180.0,6320.0
176.7536,175.4737,174.5809,5750.0,6180.0,6330.0
176.7568,175.4771,174.5851,5750.0,6190.0,6340.0
176.76,175.4802,174.5893,5750.0,6190.0,6350.0
176.7632,175.4833,174.5933,5750.0,6190.0,6360.0
176.7664,175.4869,174.5974,5760.0,6190.0,6360.0
176.7696,175.4907,174.6015,5760.0,6200.0,6370.0
176.7728,175.4943,174.6056,5760.0,6200.0,6380.0
176.776,175.4974,174.6097,5770.0,6200.0,6390.0
176.7792,175.5009,174.6137,5770.0,6200.0,6400.0
176.7824,175.5043,174.6177,5770.0,6210.0,6410.0
176.7856,175.5074,174.6217,5770.0,6210.0,6420.0
176.7888,175.511,174.6257,5780.0,6210.0,6430.0
176.792,175.5145,174.6296,5780.0,6220.0,6430.0
176.7952,175.5176,174.6336,5780.0,6220.0,6440.0
176.7984,175.5211,174.6375,5790.0,6220.0,6450.0
176.8016,175.525,174.6414,5790.0,6230.0,6460.0
176.8048,175.5285,174.6452,5790.0,6230.0,6470.0
176.808,175.5315,174.6491,5790.0,6230.0,6480.0
176.8101,175.5284,174.6512,5800.0,6220.0,6620.0
176.8111,175.5207,174.6517,5810.0,6190.0,6620.0
176.812,175.5156,174.6521,5820.0,6170.0,6620.0
176.813,175.5129,174.6524,5830.0,6160.0,6620.0
176.8139,175.5113,174.6526,5830.0,6150.0,6620.0
176.8148,175.5097,174.6528,5830.0,6140.0,6630.0
176.8157,175.5085,174.653,5840.0,6140.0,6630.0
176.8166,175.5081,174.6532,5840.0,6140.0,6630.0
176.8175,175.5081,174.6534,5840.0,6140.0,6630.0
176.8184,175.5081,174.6536,5840.0,6130.0,6630.0
176.8193,175.5081,174.6538,5840.0,6130.0,6630.0
176.8202,175.5081,174.654,5850.0,6130.0,6630.0
176.8211,175.5085,174.6542,5850.0,6130.0,6630.0
176.8219,175.5093,174.6544,5850.0,6140.0,6630.0
176.8228,175.5101,174.6546,5850.0,6140.0,6630.0
176.8237,175.5109,174.6548,5850.0,6140.0,6630.0
176.8246,175.5117,174.655,5850.0,6140.0,6630.0
176.8255,175.5121,174.6552,5850.0,6150.0,6630.0
176.8264,175.5121,174.6554,5850.0,6150.0,6630.0
