UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	stl	
# historical		
2013-11-03 , 	7290.00
2013-11-04 , 	7290.00
2013-11-05 , 	7290.00
2013-11-06 , 	7290.00
2013-11-07 , 	7290.00
2013-11-08 , 	7290.00
2013-11-09 , 	7290.00
2013-11-10 , 	7290.00
2013-11-11 , 	7290.00
2013-11-12 , 	7290.00
2013-11-13 , 	7290.00
2013-11-14 , 	7290.00
2013-11-15 , 	7290.00
2013-11-16 , 	7290.00
2013-11-17 , 	7290.00
2013-11-18 , 	7290.00
2013-11-19 , 	7290.00
2013-11-20 , 	7290.00
2013-11-21 , 	7290.00
2013-11-22 , 	7290.00
2013-11-23 , 	7290.00
2013-11-24 , 	7290.00
2013-11-25 , 	7290.00
2013-11-26 , 	7290.00
2013-11-27 , 	7290.00
2013-11-28 , 	7290.00
2013-11-29 , 	7290.00
2013-11-30 , 	7290.00
2013-12-01 , 	6720.00
2013-12-02 , 	6720.00
2013-12-03 , 	6720.00
2013-12-04 , 	6720.00
2013-12-05 , 	6720.00
2013-12-06 , 	6720.00
2013-12-07 , 	6720.00
2013-12-08 , 	6720.00
2013-12-09 , 	6720.00
2013-12-10 , 	6720.00
2013-12-11 , 	6720.00
2013-12-12 , 	6720.00
2013-12-13 , 	6720.00
2013-12-14 , 	6720.00
2013-12-15 , 	6720.00
2013-12-16 , 	6720.00
2013-12-17 , 	6720.00
2013-12-18 , 	6720.00
2013-12-19 , 	6720.00
2013-12-20 , 	6720.00
2013-12-21 , 	6720.00
2013-12-22 , 	6720.00
2013-12-23 , 	6720.00
2013-12-24 , 	6720.00
2013-12-25 , 	6720.00
2013-12-26 , 	6720.00
2013-12-27 , 	6720.00
2013-12-28 , 	6720.00
2013-12-29 , 	6720.00
2013-12-30 , 	6720.00
2013-12-31 , 	6720.00
2014-01-01 , 	6322.00
2014-01-02 , 	6322.00
2014-01-03 , 	6322.00
2014-01-04 , 	6322.00
2014-01-05 , 	6322.00
2014-01-06 , 	6322.00
2014-01-07 , 	6322.00
2014-01-08 , 	6322.00
2014-01-09 , 	6322.00
2014-01-10 , 	6322.00
2014-01-11 , 	6322.00
2014-01-12 , 	6322.00
2014-01-13 , 	6322.00
2014-01-14 , 	6322.00
2014-01-15 , 	6322.00
2014-01-16 , 	6322.00
2014-01-17 , 	6322.00
2014-01-18 , 	6322.00
2014-01-19 , 	6322.00
2014-01-20 , 	6322.00
2014-01-21 , 	6322.00
2014-01-22 , 	6322.00
2014-01-23 , 	6322.00
2014-01-24 , 	6322.00
2014-01-25 , 	6322.00
2014-01-26 , 	6322.00
2014-01-27 , 	6322.00
2014-01-28 , 	6322.00
2014-01-29 , 	6322.00
2014-01-30 , 	6322.00
2014-01-31 , 	6322.00
2014-02-01 , 	6955.00
2014-02-02 , 	6955.00
2014-02-03 , 	6955.00
2014-02-04 , 	6955.00
2014-02-05 , 	6955.00
2014-02-06 , 	6955.00
2014-02-07 , 	6955.00
2014-02-08 , 	6955.00
2014-02-09 , 	6955.00
2014-02-10 , 	6955.00
2014-02-11 , 	6955.00
2014-02-12 , 	6955.00
2014-02-13 , 	6955.00
2014-02-14 , 	6955.00
2014-02-15 , 	6955.00
2014-02-16 , 	6955.00
2014-02-17 , 	6955.00
2014-02-18 , 	6955.00
2014-02-19 , 	6955.00
2014-02-20 , 	6955.00
2014-02-21 , 	6955.00
2014-02-22 , 	6955.00
2014-02-23 , 	6955.00
2014-02-24 , 	6955.00
2014-02-25 , 	6955.00
2014-02-26 , 	6955.00
2014-02-27 , 	6955.00
2014-02-28 , 	6955.00
2014-03-01 , 	6935.00
2014-03-02 , 	6935.00
2014-03-03 , 	6935.00
2014-03-04 , 	6935.00
2014-03-05 , 	6935.00
2014-03-06 , 	6935.00
2014-03-07 , 	6935.00
2014-03-08 , 	6935.00
2014-03-09 , 	6935.00
2014-03-10 , 	6935.00
2014-03-11 , 	6935.00
2014-03-12 , 	6935.00
2014-03-13 , 	6935.00
2014-03-14 , 	6935.00
2014-03-15 , 	6935.00
2014-03-16 , 	6935.00
2014-03-17 , 	6935.00
2014-03-18 , 	6935.00
2014-03-19 , 	6935.00
2014-03-20 , 	6935.00
2014-03-21 , 	6935.00
2014-03-22 , 	6935.00
2014-03-23 , 	6935.00
2014-03-24 , 	6935.00
2014-03-25 , 	6935.00
2014-03-26 , 	6935.00
2014-03-27 , 	6935.00
2014-03-28 , 	6935.00
2014-03-29 , 	6935.00
2014-03-30 , 	6935.00
2014-03-31 , 	6935.00
2014-04-01 , 	6888.00
2014-04-02 , 	6888.00
2014-04-03 , 	6888.00
2014-04-04 , 	6888.00
2014-04-05 , 	6888.00
2014-04-06 , 	6888.00
2014-04-07 , 	6888.00
2014-04-08 , 	6888.00
2014-04-09 , 	6888.00
2014-04-10 , 	6888.00
2014-04-11 , 	6888.00
2014-04-12 , 	6888.00
2014-04-13 , 	6888.00
2014-04-14 , 	6888.00
2014-04-15 , 	6888.00
2014-04-16 , 	6888.00
2014-04-17 , 	6888.00
2014-04-18 , 	6888.00
2014-04-19 , 	6888.00
2014-04-20 , 	6888.00
2014-04-21 , 	6888.00
2014-04-22 , 	6888.00
2014-04-23 , 	6888.00
2014-04-24 , 	6888.00
2014-04-25 , 	6888.00
2014-04-26 , 	6888.00
2014-04-27 , 	6888.00
2014-04-28 , 	6888.00
2014-04-29 , 	6888.00
2014-04-30 , 	6888.00
2014-05-01 , 	7835.00
2014-05-02 , 	7835.00
2014-05-03 , 	7835.00
2014-05-04 , 	7835.00
2014-05-05 , 	7835.00
2014-05-06 , 	7835.00
2014-05-07 , 	7835.00
2014-05-08 , 	7835.00
2014-05-09 , 	7835.00
2014-05-10 , 	7835.00
2014-05-11 , 	7835.00
2014-05-12 , 	7835.00
2014-05-13 , 	7835.00
2014-05-14 , 	7835.00
2014-05-15 , 	7835.00
2014-05-16 , 	7835.00
2014-05-17 , 	7835.00
2014-05-18 , 	7835.00
2014-05-19 , 	7835.00
2014-05-20 , 	7835.00
2014-05-21 , 	7835.00
2014-05-22 , 	7835.00
2014-05-23 , 	7835.00
2014-05-24 , 	7835.00
2014-05-25 , 	7835.00
2014-05-26 , 	7835.00
2014-05-27 , 	7835.00
2014-05-28 , 	7835.00
2014-05-29 , 	7835.00
2014-05-30 , 	7835.00
2014-05-31 , 	7835.00
2014-06-01 , 	8175.00
2014-06-02 , 	8175.00
2014-06-03 , 	8175.00
2014-06-04 , 	8175.00
2014-06-05 , 	8175.00
2014-06-06 , 	8175.00
2014-06-07 , 	8175.00
2014-06-08 , 	8175.00
2014-06-09 , 	8175.00
2014-06-10 , 	8175.00
2014-06-11 , 	8175.00
2014-06-12 , 	8175.00
2014-06-13 , 	8175.00
2014-06-14 , 	8175.00
2014-06-15 , 	8175.00
2014-06-16 , 	8175.00
2014-06-17 , 	8175.00
2014-06-18 , 	8175.00
2014-06-19 , 	8175.00
2014-06-20 , 	8175.00
2014-06-21 , 	8175.00
2014-06-22 , 	8175.00
2014-06-23 , 	8175.00
2014-06-24 , 	8175.00
2014-06-25 , 	8175.00
2014-06-26 , 	8175.00
2014-06-27 , 	8175.00
2014-06-28 , 	8175.00
2014-06-29 , 	8175.00
2014-06-30 , 	8175.00
2014-07-01 , 	8322.00
2014-07-02 , 	8322.00
2014-07-03 , 	8322.00
2014-07-04 , 	8322.00
2014-07-05 , 	8322.00
2014-07-06 , 	8322.00
2014-07-07 , 	8322.00
2014-07-08 , 	8322.00
2014-07-09 , 	8322.00
2014-07-10 , 	8322.00
2014-07-11 , 	8322.00
2014-07-12 , 	8322.00
2014-07-13 , 	8322.00
2014-07-14 , 	8322.00
2014-07-15 , 	8322.00
2014-07-16 , 	8322.00
2014-07-17 , 	8322.00
2014-07-18 , 	8322.00
2014-07-19 , 	8322.00
2014-07-20 , 	8322.00
2014-07-21 , 	8322.00
2014-07-22 , 	8322.00
2014-07-23 , 	8322.00
2014-07-24 , 	8322.00
2014-07-25 , 	8322.00
2014-07-26 , 	8322.00
2014-07-27 , 	8322.00
2014-07-28 , 	8322.00
2014-07-29 , 	8322.00
2014-07-30 , 	8322.00
2014-07-31 , 	8322.00
2014-08-01 , 	8071.00
2014-08-02 , 	8071.00
2014-08-03 , 	8071.00
2014-08-04 , 	8071.00
2014-08-05 , 	8071.00
2014-08-06 , 	8071.00
2014-08-07 , 	8071.00
2014-08-08 , 	8071.00
2014-08-09 , 	8071.00
2014-08-10 , 	8071.00
2014-08-11 , 	8071.00
2014-08-12 , 	8071.00
2014-08-13 , 	8071.00
2014-08-14 , 	8071.00
2014-08-15 , 	8071.00
2014-08-16 , 	8071.00
2014-08-17 , 	8071.00
2014-08-18 , 	8071.00
2014-08-19 , 	8071.00
2014-08-20 , 	8071.00
2014-08-21 , 	8071.00
2014-08-22 , 	8071.00
2014-08-23 , 	8071.00
2014-08-24 , 	8071.00
2014-08-25 , 	8071.00
2014-08-26 , 	8071.00
2014-08-27 , 	8071.00
2014-08-28 , 	8071.00
2014-08-29 , 	8071.00
2014-08-30 , 	8071.00
2014-08-31 , 	8071.00
2014-09-01 , 	7860.00
2014-09-02 , 	7860.00
2014-09-03 , 	7860.00
2014-09-04 , 	7860.00
2014-09-05 , 	7860.00
2014-09-06 , 	7860.00
2014-09-07 , 	7860.00
2014-09-08 , 	7860.00
2014-09-09 , 	7860.00
2014-09-10 , 	7860.00
2014-09-11 , 	7860.00
2014-09-12 , 	7860.00
2014-09-13 , 	7860.00
2014-09-14 , 	7860.00
2014-09-15 , 	7860.00
2014-09-16 , 	7860.00
2014-09-17 , 	7860.00
2014-09-18 , 	7860.00
2014-09-19 , 	7860.00
2014-09-20 , 	7860.00
2014-09-21 , 	7860.00
2014-09-22 , 	7860.00
2014-09-23 , 	7860.00
2014-09-24 , 	7860.00
2014-09-25 , 	7860.00
2014-09-26 , 	7860.00
2014-09-27 , 	7860.00
2014-09-28 , 	7860.00
2014-09-29 , 	7860.00
2014-09-30 , 	7860.00
2014-10-01 , 	7453.00
2014-10-02 , 	7453.00
2014-10-03 , 	7453.00
2014-10-04 , 	7453.00
2014-10-05 , 	7453.00
2014-10-06 , 	7453.00
2014-10-07 , 	7453.00
2014-10-08 , 	7453.00
2014-10-09 , 	7453.00
2014-10-10 , 	7453.00
2014-10-11 , 	7453.00
2014-10-12 , 	7453.00
2014-10-13 , 	7453.00
2014-10-14 , 	7453.00
2014-10-15 , 	7453.00
2014-10-16 , 	7453.00
2014-10-17 , 	7453.00
2014-10-18 , 	7453.00
2014-10-19 , 	7453.00
2014-10-20 , 	7453.00
2014-10-21 , 	7453.00
2014-10-22 , 	7453.00
2014-10-23 , 	7453.00
2014-10-24 , 	7453.00
2014-10-25 , 	7453.00
2014-10-26 , 	7453.00
2014-10-27 , 	7453.00
2014-10-28 , 	7453.00
2014-10-29 , 	7453.00
2014-10-30 , 	7453.00
2014-10-31 , 	7453.00
2014-11-01 , 	7210.00
2014-11-02 , 	7210.00
2014-11-03 , 	7210.00
2014-11-04 , 	7210.00
2014-11-05 , 	7210.00
2014-11-06 , 	7210.00
2014-11-07 , 	7210.00
2014-11-08 , 	7210.00
2014-11-09 , 	7210.00
2014-11-10 , 	7210.00
2014-11-11 , 	7210.00
2014-11-12 , 	7210.00
2014-11-13 , 	7210.00
2014-11-14 , 	7210.00
2014-11-15 , 	7210.00
2014-11-16 , 	7210.00
2014-11-17 , 	7210.00
2014-11-18 , 	7210.00
2014-11-19 , 	7210.00
2014-11-20 , 	7210.00
2014-11-21 , 	7210.00
2014-11-22 , 	7210.00
2014-11-23 , 	7210.00
2014-11-24 , 	7210.00
2014-11-25 , 	7210.00
2014-11-26 , 	7210.00
2014-11-27 , 	7210.00
2014-11-28 , 	7210.00
2014-11-29 , 	7210.00
2014-11-30 , 	7210.00
2014-12-01 , 	6675.00
2014-12-02 , 	6675.00
2014-12-03 , 	6675.00
2014-12-04 , 	6675.00
2014-12-05 , 	6675.00
2014-12-06 , 	6675.00
2014-12-07 , 	6675.00
2014-12-08 , 	6675.00
2014-12-09 , 	6675.00
2014-12-10 , 	6675.00
2014-12-11 , 	6675.00
2014-12-12 , 	6675.00
2014-12-13 , 	6675.00
2014-12-14 , 	6675.00
2014-12-15 , 	6675.00
2014-12-16 , 	6675.00
2014-12-17 , 	6675.00
2014-12-18 , 	6675.00
2014-12-19 , 	6675.00
2014-12-20 , 	6675.00
2014-12-21 , 	6675.00
2014-12-22 , 	6675.00
2014-12-23 , 	6675.00
2014-12-24 , 	6675.00
2014-12-25 , 	6675.00
2014-12-26 , 	6675.00
2014-12-27 , 	6675.00
2014-12-28 , 	6675.00
2014-12-29 , 	6675.00
2014-12-30 , 	6675.00
2014-12-31 , 	6675.00
2015-01-01 , 	6285.00
2015-01-02 , 	6285.00
2015-01-03 , 	6285.00
2015-01-04 , 	6285.00
2015-01-05 , 	6285.00
2015-01-06 , 	6285.00
2015-01-07 , 	6285.00
2015-01-08 , 	6285.00
2015-01-09 , 	6285.00
2015-01-10 , 	6285.00
2015-01-11 , 	6285.00
2015-01-12 , 	6285.00
2015-01-13 , 	6285.00
2015-01-14 , 	6285.00
2015-01-15 , 	6285.00
2015-01-16 , 	6285.00
2015-01-17 , 	6285.00
2015-01-18 , 	6285.00
2015-01-19 , 	6285.00
2015-01-20 , 	6285.00
2015-01-21 , 	6285.00
2015-01-22 , 	6285.00
2015-01-23 , 	6285.00
2015-01-24 , 	6285.00
2015-01-25 , 	6285.00
2015-01-26 , 	6285.00
2015-01-27 , 	6285.00
2015-01-28 , 	6285.00
2015-01-29 , 	6285.00
2015-01-30 , 	6285.00
2015-01-31 , 	6285.00
2015-02-01 , 	6804.00
2015-02-02 , 	6804.00
2015-02-03 , 	6804.00
2015-02-04 , 	6804.00
2015-02-05 , 	6804.00
2015-02-06 , 	6804.00
2015-02-07 , 	6804.00
2015-02-08 , 	6804.00
2015-02-09 , 	6804.00
2015-02-10 , 	6804.00
2015-02-11 , 	6804.00
2015-02-12 , 	6804.00
2015-02-13 , 	6804.00
2015-02-14 , 	6804.00
2015-02-15 , 	6804.00
2015-02-16 , 	6804.00
2015-02-17 , 	6804.00
2015-02-18 , 	6804.00
2015-02-19 , 	6804.00
2015-02-20 , 	6804.00
2015-02-21 , 	6804.00
2015-02-22 , 	6804.00
2015-02-23 , 	6804.00
2015-02-24 , 	6804.00
2015-02-25 , 	6804.00
2015-02-26 , 	6804.00
2015-02-27 , 	6804.00
2015-02-28 , 	6804.00
2015-03-01 , 	6460.00
2015-03-02 , 	6460.00
2015-03-03 , 	6460.00
2015-03-04 , 	6460.00
2015-03-05 , 	6460.00
2015-03-06 , 	6460.00
2015-03-07 , 	6460.00
2015-03-08 , 	6460.00
2015-03-09 , 	6460.00
2015-03-10 , 	6460.00
2015-03-11 , 	6460.00
2015-03-12 , 	6460.00
2015-03-13 , 	6460.00
2015-03-14 , 	6460.00
2015-03-15 , 	6460.00
2015-03-16 , 	6460.00
2015-03-17 , 	6460.00
2015-03-18 , 	6460.00
2015-03-19 , 	6460.00
2015-03-20 , 	6460.00
2015-03-21 , 	6460.00
2015-03-22 , 	6460.00
2015-03-23 , 	6460.00
2015-03-24 , 	6460.00
2015-03-25 , 	6460.00
2015-03-26 , 	6460.00
2015-03-27 , 	6460.00
2015-03-28 , 	6460.00
2015-03-29 , 	6460.00
2015-03-30 , 	6460.00
2015-03-31 , 	6460.00
2015-04-01 , 	6398.00
2015-04-02 , 	6398.00
2015-04-03 , 	6398.00
2015-04-04 , 	6398.00
2015-04-05 , 	6398.00
2015-04-06 , 	6398.00
2015-04-07 , 	6398.00
2015-04-08 , 	6398.00
2015-04-09 , 	6398.00
2015-04-10 , 	6398.00
2015-04-11 , 	6398.00
2015-04-12 , 	6398.00
2015-04-13 , 	6398.00
2015-04-14 , 	6398.00
2015-04-15 , 	6398.00
2015-04-16 , 	6398.00
2015-04-17 , 	6398.00
2015-04-18 , 	6398.00
2015-04-19 , 	6398.00
2015-04-20 , 	6398.00
2015-04-21 , 	6398.00
2015-04-22 , 	6398.00
2015-04-23 , 	6398.00
2015-04-24 , 	6398.00
2015-04-25 , 	6398.00
2015-04-26 , 	6398.00
2015-04-27 , 	6398.00
2015-04-28 , 	6398.00
2015-04-29 , 	6398.00
2015-04-30 , 	6398.00
2015-05-01 , 	6587.00
2015-05-02 , 	6587.00
2015-05-03 , 	6587.00
2015-05-04 , 	6587.00
2015-05-05 , 	6587.00
2015-05-06 , 	6587.00
2015-05-07 , 	6587.00
2015-05-08 , 	6587.00
2015-05-09 , 	6587.00
2015-05-10 , 	6587.00
2015-05-11 , 	6587.00
2015-05-12 , 	6587.00
2015-05-13 , 	6587.00
2015-05-14 , 	6587.00
2015-05-15 , 	6587.00
2015-05-16 , 	6587.00
2015-05-17 , 	6587.00
2015-05-18 , 	6587.00
2015-05-19 , 	6587.00
2015-05-20 , 	6587.00
2015-05-21 , 	6587.00
2015-05-22 , 	6587.00
2015-05-23 , 	6587.00
2015-05-24 , 	6587.00
2015-05-25 , 	6587.00
2015-05-26 , 	6587.00
2015-05-27 , 	6587.00
2015-05-28 , 	6587.00
2015-05-29 , 	6587.00
2015-05-30 , 	6587.00
2015-05-31 , 	6587.00
2015-06-01 , 	6905.00
2015-06-02 , 	6905.00
2015-06-03 , 	6905.00
2015-06-04 , 	6905.00
2015-06-05 , 	6905.00
2015-06-06 , 	6905.00
2015-06-07 , 	6905.00
2015-06-08 , 	6905.00
2015-06-09 , 	6905.00
2015-06-10 , 	6905.00
2015-06-11 , 	6905.00
2015-06-12 , 	6905.00
2015-06-13 , 	6905.00
2015-06-14 , 	6905.00
2015-06-15 , 	6905.00
2015-06-16 , 	6905.00
2015-06-17 , 	6905.00
2015-06-18 , 	6905.00
2015-06-19 , 	6905.00
2015-06-20 , 	6905.00
2015-06-21 , 	6905.00
2015-06-22 , 	6905.00
2015-06-23 , 	6905.00
2015-06-24 , 	6905.00
2015-06-25 , 	6905.00
2015-06-26 , 	6905.00
2015-06-27 , 	6905.00
2015-06-28 , 	6905.00
2015-06-29 , 	6905.00
2015-06-30 , 	6905.00
2015-07-01 , 	8253.00
2015-07-02 , 	8253.00
2015-07-03 , 	8253.00
2015-07-04 , 	8253.00
2015-07-05 , 	8253.00
2015-07-06 , 	8253.00
2015-07-07 , 	8253.00
2015-07-08 , 	8253.00
2015-07-09 , 	8253.00
2015-07-10 , 	8253.00
2015-07-11 , 	8253.00
2015-07-12 , 	8253.00
