UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	stc	
# daily lwa		
2013-11-15 , 	174.76
2013-11-16 , 	174.72
2013-11-17 , 	174.70
2013-11-18 , 	174.78
2013-11-19 , 	174.80
2013-11-20 , 	174.78
2013-11-21 , 	174.80
2013-11-22 , 	174.80
2013-11-23 , 	174.80
2013-11-24 , 	174.71
2013-11-25 , 	174.74
2013-11-26 , 	174.78
2013-11-27 , 	174.76
2013-11-28 , 	174.76
2013-11-29 , 	174.76
2013-11-30 , 	174.75
2013-12-01 , 	174.76
2013-12-02 , 	174.77
2013-12-03 , 	174.76
2013-12-04 , 	174.72
2013-12-05 , 	174.74
2013-12-06 , 	174.74
2013-12-07 , 	174.78
2013-12-08 , 	174.70
2013-12-09 , 	174.66
2013-12-10 , 	174.68
2013-12-11 , 	174.69
2013-12-12 , 	174.74
2013-12-13 , 	174.80
2013-12-14 , 	174.78
2013-12-15 , 	174.79
2013-12-16 , 	174.80
2013-12-17 , 	174.78
2013-12-18 , 	174.78
2013-12-19 , 	174.80
2013-12-20 , 	174.80
2013-12-21 , 	174.88
2013-12-22 , 	174.90
2013-12-23 , 	174.88
2013-12-24 , 	174.88
2013-12-25 , 	174.90
2013-12-26 , 	174.89
2013-12-27 , 	174.87
2013-12-28 , 	174.86
2013-12-29 , 	174.85
2013-12-30 , 	174.83
2013-12-31 , 	174.84
2014-01-01 , 	174.88
2014-01-02 , 	174.84
2014-01-03 , 	174.72
2014-01-04 , 	174.68
2014-01-05 , 	174.66
2014-01-06 , 	174.58
2014-01-07 , 	174.56
2014-01-08 , 	174.57
2014-01-09 , 	174.57
2014-01-10 , 	174.58
2014-01-11 , 	174.61
2014-01-12 , 	174.64
2014-01-13 , 	174.66
2014-01-14 , 	174.68
2014-01-15 , 	174.71
2014-01-16 , 	174.74
2014-01-17 , 	174.74
2014-01-18 , 	174.76
2014-01-19 , 	174.75
2014-01-20 , 	174.77
2014-01-21 , 	174.76
2014-01-22 , 	174.74
2014-01-23 , 	174.72
2014-01-24 , 	174.66
2014-01-25 , 	174.66
2014-01-26 , 	174.66
2014-01-27 , 	174.64
2014-01-28 , 	174.62
2014-01-29 , 	174.60
2014-01-30 , 	174.58
2014-01-31 , 	174.58
2014-02-01 , 	174.59
2014-02-02 , 	174.59
2014-02-03 , 	174.57
2014-02-04 , 	174.58
2014-02-05 , 	174.59
2014-02-06 , 	174.58
2014-02-07 , 	174.57
2014-02-08 , 	174.58
2014-02-09 , 	174.59
2014-02-10 , 	174.60
2014-02-11 , 	174.60
2014-02-12 , 	174.59
2014-02-13 , 	174.58
2014-02-14 , 	174.58
2014-02-15 , 	174.58
2014-02-16 , 	174.58
2014-02-17 , 	174.59
2014-02-18 , 	174.58
2014-02-19 , 	174.58
2014-02-20 , 	174.62
2014-02-21 , 	174.62
2014-02-22 , 	174.66
2014-02-23 , 	174.67
2014-02-24 , 	174.69
2014-02-25 , 	174.72
2014-02-26 , 	174.73
2014-02-27 , 	174.76
2014-02-28 , 	174.78
2014-03-01 , 	174.80
2014-03-02 , 	174.79
2014-03-03 , 	174.78
2014-03-04 , 	174.76
2014-03-05 , 	174.74
2014-03-06 , 	174.72
2014-03-07 , 	174.72
2014-03-08 , 	174.70
2014-03-09 , 	174.69
2014-03-10 , 	174.70
2014-03-11 , 	174.78
2014-03-12 , 	174.79
2014-03-13 , 	174.78
2014-03-14 , 	174.78
2014-03-15 , 	174.82
2014-03-16 , 	174.82
2014-03-17 , 	174.82
2014-03-18 , 	174.82
2014-03-19 , 	174.82
2014-03-20 , 	174.82
2014-03-21 , 	174.84
2014-03-22 , 	174.85
2014-03-23 , 	174.86
2014-03-24 , 	174.84
2014-03-25 , 	174.83
2014-03-26 , 	174.82
2014-03-27 , 	174.80
2014-03-28 , 	174.82
2014-03-29 , 	174.84
2014-03-30 , 	174.86
2014-03-31 , 	174.86
2014-04-01 , 	174.88
2014-04-02 , 	174.92
2014-04-03 , 	174.94
2014-04-04 , 	174.92
2014-04-05 , 	174.94
2014-04-06 , 	174.94
2014-04-07 , 	174.95
2014-04-08 , 	174.96
2014-04-09 , 	174.92
2014-04-10 , 	174.96
2014-04-11 , 	174.96
2014-04-12 , 	174.95
2014-04-13 , 	174.94
2014-04-14 , 	174.98
2014-04-15 , 	174.98
2014-04-16 , 	174.98
2014-04-17 , 	174.98
2014-04-18 , 	174.98
2014-04-19 , 	174.96
2014-04-20 , 	174.96
2014-04-21 , 	174.97
2014-04-22 , 	174.98
2014-04-23 , 	174.98
2014-04-24 , 	174.98
2014-04-25 , 	174.98
