UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	nia	
# m applied d		
2014-08-17 , 	6040.00
2014-08-18 , 	6040.00
2014-08-19 , 	6040.00
2014-08-20 , 	6040.00
2014-08-21 , 	6040.00
2014-08-22 , 	6040.00
2014-08-23 , 	6040.00
2014-08-24 , 	6040.00
2014-08-25 , 	6040.00
2014-08-26 , 	6040.00
2014-08-27 , 	6040.00
2014-08-28 , 	6040.00
2014-08-29 , 	6040.00
2014-08-30 , 	6040.00
2014-08-31 , 	6040.00
2014-09-01 , 	6000.00
2014-09-02 , 	6000.00
2014-09-03 , 	6000.00
2014-09-04 , 	6000.00
2014-09-05 , 	6000.00
2014-09-06 , 	6000.00
2014-09-07 , 	6000.00
2014-09-08 , 	6000.00
2014-09-09 , 	6000.00
2014-09-10 , 	6000.00
2014-09-11 , 	6000.00
2014-09-12 , 	6000.00
2014-09-13 , 	6000.00
2014-09-14 , 	6000.00
2014-09-15 , 	6000.00
2014-09-16 , 	6000.00
2014-09-17 , 	6000.00
2014-09-18 , 	6000.00
2014-09-19 , 	6000.00
2014-09-20 , 	6000.00
2014-09-21 , 	6000.00
2014-09-22 , 	6000.00
2014-09-23 , 	6000.00
2014-09-24 , 	6000.00
2014-09-25 , 	6000.00
2014-09-26 , 	6000.00
2014-09-27 , 	6000.00
2014-09-28 , 	6000.00
2014-09-29 , 	6000.00
2014-09-30 , 	6000.00
2014-10-01 , 	6040.00
2014-10-02 , 	6040.00
2014-10-03 , 	6040.00
2014-10-04 , 	6040.00
2014-10-05 , 	6040.00
2014-10-06 , 	6040.00
2014-10-07 , 	6040.00
2014-10-08 , 	6040.00
2014-10-09 , 	6040.00
2014-10-10 , 	6040.00
2014-10-11 , 	6040.00
2014-10-12 , 	6040.00
2014-10-13 , 	6040.00
2014-10-14 , 	6040.00
2014-10-15 , 	6040.00
2014-10-16 , 	6040.00
2014-10-17 , 	6040.00
2014-10-18 , 	6040.00
2014-10-19 , 	6040.00
2014-10-20 , 	6040.00
2014-10-21 , 	6040.00
2014-10-22 , 	6040.00
2014-10-23 , 	6040.00
2014-10-24 , 	6040.00
2014-10-25 , 	6040.00
2014-10-26 , 	6040.00
2014-10-27 , 	6040.00
2014-10-28 , 	6040.00
2014-10-29 , 	6040.00
2014-10-30 , 	6040.00
2014-10-31 , 	6040.00
2014-11-01 , 	6130.00
2014-11-02 , 	6130.00
2014-11-03 , 	6130.00
2014-11-04 , 	6130.00
2014-11-05 , 	6130.00
2014-11-06 , 	6130.00
2014-11-07 , 	6130.00
2014-11-08 , 	6130.00
2014-11-09 , 	6130.00
2014-11-10 , 	6130.00
2014-11-11 , 	6130.00
2014-11-12 , 	6130.00
2014-11-13 , 	6130.00
2014-11-14 , 	6130.00
2014-11-15 , 	6130.00
2014-11-16 , 	6130.00
2014-11-17 , 	6130.00
2014-11-18 , 	6130.00
2014-11-19 , 	6130.00
2014-11-20 , 	6130.00
2014-11-21 , 	6130.00
2014-11-22 , 	6130.00
2014-11-23 , 	6130.00
2014-11-24 , 	6130.00
2014-11-25 , 	6130.00
2014-11-26 , 	6130.00
2014-11-27 , 	6130.00
2014-11-28 , 	6130.00
2014-11-29 , 	6130.00
2014-11-30 , 	6130.00
2014-12-01 , 	5970.00
2014-12-02 , 	5970.00
2014-12-03 , 	5970.00
2014-12-04 , 	5970.00
2014-12-05 , 	5970.00
2014-12-06 , 	5970.00
2014-12-07 , 	5970.00
2014-12-08 , 	5970.00
2014-12-09 , 	5970.00
2014-12-10 , 	5970.00
2014-12-11 , 	5970.00
2014-12-12 , 	5970.00
2014-12-13 , 	5970.00
2014-12-14 , 	5970.00
2014-12-15 , 	5970.00
2014-12-16 , 	5970.00
2014-12-17 , 	5970.00
2014-12-18 , 	5970.00
2014-12-19 , 	5970.00
2014-12-20 , 	5970.00
2014-12-21 , 	5970.00
2014-12-22 , 	5970.00
2014-12-23 , 	5970.00
