UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	stc	
# m applied d		
2014-01-29 , 	-630.00
2014-01-30 , 	-630.00
2014-01-31 , 	-630.00
2014-02-01 , 	120.00
2014-02-02 , 	120.00
2014-02-03 , 	120.00
2014-02-04 , 	120.00
2014-02-05 , 	120.00
2014-02-06 , 	120.00
2014-02-07 , 	120.00
2014-02-08 , 	120.00
2014-02-09 , 	120.00
2014-02-10 , 	120.00
2014-02-11 , 	120.00
2014-02-12 , 	120.00
2014-02-13 , 	120.00
2014-02-14 , 	120.00
2014-02-15 , 	120.00
2014-02-16 , 	120.00
2014-02-17 , 	120.00
2014-02-18 , 	120.00
2014-02-19 , 	120.00
2014-02-20 , 	120.00
2014-02-21 , 	120.00
2014-02-22 , 	120.00
2014-02-23 , 	120.00
2014-02-24 , 	120.00
2014-02-25 , 	120.00
2014-02-26 , 	120.00
2014-02-27 , 	120.00
2014-02-28 , 	120.00
2014-03-01 , 	460.00
2014-03-02 , 	460.00
2014-03-03 , 	460.00
2014-03-04 , 	460.00
2014-03-05 , 	460.00
2014-03-06 , 	460.00
2014-03-07 , 	460.00
2014-03-08 , 	460.00
2014-03-09 , 	460.00
2014-03-10 , 	460.00
2014-03-11 , 	460.00
2014-03-12 , 	460.00
2014-03-13 , 	460.00
2014-03-14 , 	460.00
2014-03-15 , 	460.00
2014-03-16 , 	460.00
2014-03-17 , 	460.00
2014-03-18 , 	460.00
2014-03-19 , 	460.00
2014-03-20 , 	460.00
2014-03-21 , 	460.00
2014-03-22 , 	460.00
2014-03-23 , 	460.00
2014-03-24 , 	460.00
2014-03-25 , 	460.00
2014-03-26 , 	460.00
2014-03-27 , 	460.00
2014-03-28 , 	460.00
2014-03-29 , 	460.00
2014-03-30 , 	460.00
2014-03-31 , 	460.00
2014-04-01 , 	430.00
2014-04-02 , 	430.00
2014-04-03 , 	430.00
2014-04-04 , 	430.00
2014-04-05 , 	430.00
2014-04-06 , 	430.00
2014-04-07 , 	430.00
2014-04-08 , 	430.00
2014-04-09 , 	430.00
2014-04-10 , 	430.00
2014-04-11 , 	430.00
2014-04-12 , 	430.00
2014-04-13 , 	430.00
2014-04-14 , 	430.00
2014-04-15 , 	430.00
