UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	smr	
# historical		
2013-12-05 , 	2180.00
2013-12-06 , 	2180.00
2013-12-07 , 	2180.00
2013-12-08 , 	2180.00
2013-12-09 , 	2180.00
2013-12-10 , 	2180.00
2013-12-11 , 	2180.00
2013-12-12 , 	2180.00
2013-12-13 , 	2180.00
2013-12-14 , 	2180.00
2013-12-15 , 	2180.00
2013-12-16 , 	2180.00
2013-12-17 , 	2180.00
2013-12-18 , 	2180.00
2013-12-19 , 	2180.00
2013-12-20 , 	2180.00
2013-12-21 , 	2180.00
2013-12-22 , 	2180.00
2013-12-23 , 	2180.00
2013-12-24 , 	2180.00
2013-12-25 , 	2180.00
2013-12-26 , 	2180.00
2013-12-27 , 	2180.00
2013-12-28 , 	2180.00
2013-12-29 , 	2180.00
2013-12-30 , 	2180.00
2013-12-31 , 	2180.00
2014-01-01 , 	2070.00
2014-01-02 , 	2070.00
2014-01-03 , 	2070.00
2014-01-04 , 	2070.00
2014-01-05 , 	2070.00
2014-01-06 , 	2070.00
2014-01-07 , 	2070.00
2014-01-08 , 	2070.00
2014-01-09 , 	2070.00
2014-01-10 , 	2070.00
2014-01-11 , 	2070.00
2014-01-12 , 	2070.00
2014-01-13 , 	2070.00
2014-01-14 , 	2070.00
2014-01-15 , 	2070.00
2014-01-16 , 	2070.00
2014-01-17 , 	2070.00
2014-01-18 , 	2070.00
2014-01-19 , 	2070.00
2014-01-20 , 	2070.00
2014-01-21 , 	2070.00
2014-01-22 , 	2070.00
2014-01-23 , 	2070.00
2014-01-24 , 	2070.00
2014-01-25 , 	2070.00
2014-01-26 , 	2070.00
2014-01-27 , 	2070.00
2014-01-28 , 	2070.00
2014-01-29 , 	2070.00
2014-01-30 , 	2070.00
2014-01-31 , 	2070.00
2014-02-01 , 	1970.00
2014-02-02 , 	1970.00
2014-02-03 , 	1970.00
2014-02-04 , 	1970.00
2014-02-05 , 	1970.00
2014-02-06 , 	1970.00
2014-02-07 , 	1970.00
2014-02-08 , 	1970.00
2014-02-09 , 	1970.00
2014-02-10 , 	1970.00
2014-02-11 , 	1970.00
2014-02-12 , 	1970.00
2014-02-13 , 	1970.00
2014-02-14 , 	1970.00
2014-02-15 , 	1970.00
2014-02-16 , 	1970.00
2014-02-17 , 	1970.00
2014-02-18 , 	1970.00
2014-02-19 , 	1970.00
2014-02-20 , 	1970.00
2014-02-21 , 	1970.00
2014-02-22 , 	1970.00
2014-02-23 , 	1970.00
2014-02-24 , 	1970.00
2014-02-25 , 	1970.00
2014-02-26 , 	1970.00
2014-02-27 , 	1970.00
2014-02-28 , 	1970.00
2014-03-01 , 	1970.00
