UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	mhu	
# daily lwa		
2013-04-27 , 	175.86
2013-04-28 , 	175.87
2013-04-29 , 	175.88
2013-04-30 , 	175.88
2013-05-01 , 	175.88
2013-05-02 , 	175.89
2013-05-03 , 	175.89
2013-05-04 , 	175.89
2013-05-05 , 	175.90
2013-05-06 , 	175.90
2013-05-07 , 	175.90
2013-05-08 , 	175.90
2013-05-09 , 	175.91
2013-05-10 , 	175.92
2013-05-11 , 	175.92
2013-05-12 , 	175.94
2013-05-13 , 	175.92
2013-05-14 , 	175.92
2013-05-15 , 	175.93
2013-05-16 , 	175.92
2013-05-17 , 	175.92
2013-05-18 , 	175.93
2013-05-19 , 	175.93
2013-05-20 , 	175.94
2013-05-21 , 	175.95
2013-05-22 , 	175.96
2013-05-23 , 	175.97
2013-05-24 , 	175.98
2013-05-25 , 	175.97
2013-05-26 , 	175.98
2013-05-27 , 	175.98
2013-05-28 , 	176.00
2013-05-29 , 	176.00
2013-05-30 , 	176.01
2013-05-31 , 	176.01
2013-06-01 , 	176.01
2013-06-02 , 	176.02
2013-06-03 , 	176.02
2013-06-04 , 	176.02
2013-06-05 , 	176.02
2013-06-06 , 	176.02
2013-06-07 , 	176.02
2013-06-08 , 	176.02
2013-06-09 , 	176.02
2013-06-10 , 	176.04
2013-06-11 , 	176.05
2013-06-12 , 	176.04
2013-06-13 , 	176.04
2013-06-14 , 	176.05
2013-06-15 , 	176.06
2013-06-16 , 	176.06
2013-06-17 , 	176.06
2013-06-18 , 	176.07
2013-06-19 , 	176.06
2013-06-20 , 	176.06
2013-06-21 , 	176.06
2013-06-22 , 	176.07
2013-06-23 , 	176.07
2013-06-24 , 	176.08
2013-06-25 , 	176.08
2013-06-26 , 	176.08
2013-06-27 , 	176.09
2013-06-28 , 	176.09
2013-06-29 , 	176.09
2013-06-30 , 	176.08
2013-07-01 , 	176.08
2013-07-02 , 	176.09
2013-07-03 , 	176.09
2013-07-04 , 	176.09
2013-07-05 , 	176.08
2013-07-06 , 	176.09
2013-07-07 , 	176.10
2013-07-08 , 	176.10
2013-07-09 , 	176.10
2013-07-10 , 	176.10
2013-07-11 , 	176.09
2013-07-12 , 	176.09
2013-07-13 , 	176.09
2013-07-14 , 	176.09
2013-07-15 , 	176.09
2013-07-16 , 	176.09
