UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	eri	
# m applied d		
2013-09-20 , 	-850.00
2013-09-21 , 	-850.00
2013-09-22 , 	-850.00
2013-09-23 , 	-850.00
2013-09-24 , 	-850.00
2013-09-25 , 	-850.00
2013-09-26 , 	-850.00
2013-09-27 , 	-850.00
2013-09-28 , 	-850.00
2013-09-29 , 	-850.00
2013-09-30 , 	-850.00
2013-10-01 , 	-90.00
2013-10-02 , 	-90.00
2013-10-03 , 	-90.00
2013-10-04 , 	-90.00
2013-10-05 , 	-90.00
2013-10-06 , 	-90.00
2013-10-07 , 	-90.00
2013-10-08 , 	-90.00
2013-10-09 , 	-90.00
2013-10-10 , 	-90.00
2013-10-11 , 	-90.00
2013-10-12 , 	-90.00
2013-10-13 , 	-90.00
2013-10-14 , 	-90.00
2013-10-15 , 	-90.00
2013-10-16 , 	-90.00
2013-10-17 , 	-90.00
2013-10-18 , 	-90.00
2013-10-19 , 	-90.00
2013-10-20 , 	-90.00
2013-10-21 , 	-90.00
2013-10-22 , 	-90.00
2013-10-23 , 	-90.00
2013-10-24 , 	-90.00
2013-10-25 , 	-90.00
2013-10-26 , 	-90.00
2013-10-27 , 	-90.00
2013-10-28 , 	-90.00
2013-10-29 , 	-90.00
2013-10-30 , 	-90.00
2013-10-31 , 	-90.00
2013-11-01 , 	0.00
2013-11-02 , 	0.00
2013-11-03 , 	0.00
2013-11-04 , 	0.00
2013-11-05 , 	0.00
2013-11-06 , 	0.00
2013-11-07 , 	0.00
2013-11-08 , 	0.00
2013-11-09 , 	0.00
2013-11-10 , 	0.00
2013-11-11 , 	0.00
2013-11-12 , 	0.00
2013-11-13 , 	0.00
2013-11-14 , 	0.00
2013-11-15 , 	0.00
2013-11-16 , 	0.00
2013-11-17 , 	0.00
2013-11-18 , 	0.00
2013-11-19 , 	0.00
2013-11-20 , 	0.00
2013-11-21 , 	0.00
2013-11-22 , 	0.00
2013-11-23 , 	0.00
2013-11-24 , 	0.00
2013-11-25 , 	0.00
2013-11-26 , 	0.00
2013-11-27 , 	0.00
2013-11-28 , 	0.00
2013-11-29 , 	0.00
2013-11-30 , 	0.00
2013-12-01 , 	1350.00
2013-12-02 , 	1350.00
2013-12-03 , 	1350.00
2013-12-04 , 	1350.00
2013-12-05 , 	1350.00
2013-12-06 , 	1350.00
2013-12-07 , 	1350.00
2013-12-08 , 	1350.00
2013-12-09 , 	1350.00
2013-12-10 , 	1350.00
2013-12-11 , 	1350.00
2013-12-12 , 	1350.00
2013-12-13 , 	1350.00
2013-12-14 , 	1350.00
2013-12-15 , 	1350.00
2013-12-16 , 	1350.00
2013-12-17 , 	1350.00
2013-12-18 , 	1350.00
2013-12-19 , 	1350.00
2013-12-20 , 	1350.00
2013-12-21 , 	1350.00
2013-12-22 , 	1350.00
2013-12-23 , 	1350.00
2013-12-24 , 	1350.00
2013-12-25 , 	1350.00
2013-12-26 , 	1350.00
2013-12-27 , 	1350.00
2013-12-28 , 	1350.00
2013-12-29 , 	1350.00
2013-12-30 , 	1350.00
2013-12-31 , 	1350.00
2014-01-01 , 	1280.00
2014-01-02 , 	1280.00
2014-01-03 , 	1280.00
2014-01-04 , 	1280.00
2014-01-05 , 	1280.00
2014-01-06 , 	1280.00
2014-01-07 , 	1280.00
2014-01-08 , 	1280.00
2014-01-09 , 	1280.00
2014-01-10 , 	1280.00
2014-01-11 , 	1280.00
2014-01-12 , 	1280.00
2014-01-13 , 	1280.00
2014-01-14 , 	1280.00
2014-01-15 , 	1280.00
2014-01-16 , 	1280.00
2014-01-17 , 	1280.00
2014-01-18 , 	1280.00
2014-01-19 , 	1280.00
2014-01-20 , 	1280.00
2014-01-21 , 	1280.00
2014-01-22 , 	1280.00
2014-01-23 , 	1280.00
2014-01-24 , 	1280.00
2014-01-25 , 	1280.00
2014-01-26 , 	1280.00
2014-01-27 , 	1280.00
2014-01-28 , 	1280.00
2014-01-29 , 	1280.00
2014-01-30 , 	1280.00
2014-01-31 , 	1280.00
2014-02-01 , 	1160.00
2014-02-02 , 	1160.00
2014-02-03 , 	1160.00
2014-02-04 , 	1160.00
2014-02-05 , 	1160.00
2014-02-06 , 	1160.00
2014-02-07 , 	1160.00
2014-02-08 , 	1160.00
2014-02-09 , 	1160.00
2014-02-10 , 	1160.00
2014-02-11 , 	1160.00
2014-02-12 , 	1160.00
2014-02-13 , 	1160.00
2014-02-14 , 	1160.00
2014-02-15 , 	1160.00
2014-02-16 , 	1160.00
2014-02-17 , 	1160.00
2014-02-18 , 	1160.00
2014-02-19 , 	1160.00
2014-02-20 , 	1160.00
2014-02-21 , 	1160.00
2014-02-22 , 	1160.00
2014-02-23 , 	1160.00
2014-02-24 , 	1160.00
2014-02-25 , 	1160.00
2014-02-26 , 	1160.00
2014-02-27 , 	1160.00
2014-02-28 , 	1160.00
2014-03-01 , 	1580.00
2014-03-02 , 	1580.00
2014-03-03 , 	1580.00
2014-03-04 , 	1580.00
2014-03-05 , 	1580.00
2014-03-06 , 	1580.00
2014-03-07 , 	1580.00
2014-03-08 , 	1580.00
2014-03-09 , 	1580.00
2014-03-10 , 	1580.00
2014-03-11 , 	1580.00
2014-03-12 , 	1580.00
2014-03-13 , 	1580.00
2014-03-14 , 	1580.00
2014-03-15 , 	1580.00
2014-03-16 , 	1580.00
2014-03-17 , 	1580.00
2014-03-18 , 	1580.00
2014-03-19 , 	1580.00
