UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	det	
# m applied d		
2014-06-27 , 	5530.00
2014-06-28 , 	5530.00
2014-06-29 , 	5530.00
2014-06-30 , 	5530.00
2014-07-01 , 	5710.00
2014-07-02 , 	5710.00
2014-07-03 , 	5710.00
2014-07-04 , 	5710.00
2014-07-05 , 	5710.00
2014-07-06 , 	5710.00
2014-07-07 , 	5710.00
2014-07-08 , 	5710.00
2014-07-09 , 	5710.00
2014-07-10 , 	5710.00
2014-07-11 , 	5710.00
2014-07-12 , 	5710.00
2014-07-13 , 	5710.00
2014-07-14 , 	5710.00
2014-07-15 , 	5710.00
2014-07-16 , 	5710.00
2014-07-17 , 	5710.00
2014-07-18 , 	5710.00
2014-07-19 , 	5710.00
2014-07-20 , 	5710.00
2014-07-21 , 	5710.00
2014-07-22 , 	5710.00
2014-07-23 , 	5710.00
2014-07-24 , 	5710.00
2014-07-25 , 	5710.00
2014-07-26 , 	5710.00
2014-07-27 , 	5710.00
2014-07-28 , 	5710.00
2014-07-29 , 	5710.00
2014-07-30 , 	5710.00
2014-07-31 , 	5710.00
2014-08-01 , 	5690.00
2014-08-02 , 	5690.00
2014-08-03 , 	5690.00
2014-08-04 , 	5690.00
2014-08-05 , 	5690.00
2014-08-06 , 	5690.00
2014-08-07 , 	5690.00
2014-08-08 , 	5690.00
2014-08-09 , 	5690.00
2014-08-10 , 	5690.00
2014-08-11 , 	5690.00
2014-08-12 , 	5690.00
2014-08-13 , 	5690.00
2014-08-14 , 	5690.00
2014-08-15 , 	5690.00
2014-08-16 , 	5690.00
2014-08-17 , 	5690.00
2014-08-18 , 	5690.00
2014-08-19 , 	5690.00
2014-08-20 , 	5690.00
2014-08-21 , 	5690.00
2014-08-22 , 	5690.00
2014-08-23 , 	5690.00
2014-08-24 , 	5690.00
2014-08-25 , 	5690.00
2014-08-26 , 	5690.00
2014-08-27 , 	5690.00
2014-08-28 , 	5690.00
2014-08-29 , 	5690.00
2014-08-30 , 	5690.00
2014-08-31 , 	5690.00
2014-09-01 , 	5810.00
2014-09-02 , 	5810.00
2014-09-03 , 	5810.00
2014-09-04 , 	5810.00
2014-09-05 , 	5810.00
2014-09-06 , 	5810.00
2014-09-07 , 	5810.00
2014-09-08 , 	5810.00
2014-09-09 , 	5810.00
2014-09-10 , 	5810.00
2014-09-11 , 	5810.00
2014-09-12 , 	5810.00
2014-09-13 , 	5810.00
2014-09-14 , 	5810.00
2014-09-15 , 	5810.00
2014-09-16 , 	5810.00
2014-09-17 , 	5810.00
2014-09-18 , 	5810.00
2014-09-19 , 	5810.00
2014-09-20 , 	5810.00
2014-09-21 , 	5810.00
2014-09-22 , 	5810.00
2014-09-23 , 	5810.00
2014-09-24 , 	5810.00
2014-09-25 , 	5810.00
2014-09-26 , 	5810.00
2014-09-27 , 	5810.00
2014-09-28 , 	5810.00
2014-09-29 , 	5810.00
2014-09-30 , 	5810.00
2014-10-01 , 	5910.00
2014-10-02 , 	5910.00
2014-10-03 , 	5910.00
2014-10-04 , 	5910.00
2014-10-05 , 	5910.00
2014-10-06 , 	5910.00
2014-10-07 , 	5910.00
2014-10-08 , 	5910.00
2014-10-09 , 	5910.00
2014-10-10 , 	5910.00
2014-10-11 , 	5910.00
2014-10-12 , 	5910.00
2014-10-13 , 	5910.00
2014-10-14 , 	5910.00
2014-10-15 , 	5910.00
2014-10-16 , 	5910.00
2014-10-17 , 	5910.00
2014-10-18 , 	5910.00
2014-10-19 , 	5910.00
2014-10-20 , 	5910.00
2014-10-21 , 	5910.00
2014-10-22 , 	5910.00
2014-10-23 , 	5910.00
2014-10-24 , 	5910.00
2014-10-25 , 	5910.00
2014-10-26 , 	5910.00
2014-10-27 , 	5910.00
2014-10-28 , 	5910.00
2014-10-29 , 	5910.00
2014-10-30 , 	5910.00
