UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	sup	
# m applied d		
2013-12-04 , 	460.00
2013-12-05 , 	460.00
2013-12-06 , 	460.00
2013-12-07 , 	460.00
2013-12-08 , 	460.00
2013-12-09 , 	460.00
2013-12-10 , 	460.00
2013-12-11 , 	460.00
2013-12-12 , 	460.00
2013-12-13 , 	460.00
2013-12-14 , 	460.00
2013-12-15 , 	460.00
2013-12-16 , 	460.00
2013-12-17 , 	460.00
2013-12-18 , 	460.00
2013-12-19 , 	460.00
2013-12-20 , 	460.00
2013-12-21 , 	460.00
2013-12-22 , 	460.00
2013-12-23 , 	460.00
2013-12-24 , 	460.00
2013-12-25 , 	460.00
2013-12-26 , 	460.00
2013-12-27 , 	460.00
2013-12-28 , 	460.00
2013-12-29 , 	460.00
2013-12-30 , 	460.00
2013-12-31 , 	460.00
2014-01-01 , 	-560.00
2014-01-02 , 	-560.00
2014-01-03 , 	-560.00
2014-01-04 , 	-560.00
2014-01-05 , 	-560.00
2014-01-06 , 	-560.00
2014-01-07 , 	-560.00
2014-01-08 , 	-560.00
2014-01-09 , 	-560.00
2014-01-10 , 	-560.00
2014-01-11 , 	-560.00
2014-01-12 , 	-560.00
2014-01-13 , 	-560.00
2014-01-14 , 	-560.00
2014-01-15 , 	-560.00
2014-01-16 , 	-560.00
2014-01-17 , 	-560.00
2014-01-18 , 	-560.00
2014-01-19 , 	-560.00
2014-01-20 , 	-560.00
2014-01-21 , 	-560.00
2014-01-22 , 	-560.00
2014-01-23 , 	-560.00
2014-01-24 , 	-560.00
2014-01-25 , 	-560.00
2014-01-26 , 	-560.00
2014-01-27 , 	-560.00
2014-01-28 , 	-560.00
2014-01-29 , 	-560.00
2014-01-30 , 	-560.00
2014-01-31 , 	-560.00
2014-02-01 , 	1560.00
2014-02-02 , 	1560.00
2014-02-03 , 	1560.00
2014-02-04 , 	1560.00
2014-02-05 , 	1560.00
2014-02-06 , 	1560.00
2014-02-07 , 	1560.00
2014-02-08 , 	1560.00
2014-02-09 , 	1560.00
2014-02-10 , 	1560.00
2014-02-11 , 	1560.00
2014-02-12 , 	1560.00
2014-02-13 , 	1560.00
2014-02-14 , 	1560.00
2014-02-15 , 	1560.00
2014-02-16 , 	1560.00
2014-02-17 , 	1560.00
2014-02-18 , 	1560.00
2014-02-19 , 	1560.00
2014-02-20 , 	1560.00
2014-02-21 , 	1560.00
2014-02-22 , 	1560.00
2014-02-23 , 	1560.00
2014-02-24 , 	1560.00
2014-02-25 , 	1560.00
2014-02-26 , 	1560.00
2014-02-27 , 	1560.00
2014-02-28 , 	1560.00
2014-03-01 , 	1580.00
2014-03-02 , 	1580.00
2014-03-03 , 	1580.00
2014-03-04 , 	1580.00
2014-03-05 , 	1580.00
2014-03-06 , 	1580.00
2014-03-07 , 	1580.00
2014-03-08 , 	1580.00
2014-03-09 , 	1580.00
2014-03-10 , 	1580.00
2014-03-11 , 	1580.00
2014-03-12 , 	1580.00
2014-03-13 , 	1580.00
