UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	mhu	
# m applied d		
2013-12-01 , 	1030.00
2013-12-02 , 	1030.00
2013-12-03 , 	1030.00
2013-12-04 , 	1030.00
2013-12-05 , 	1030.00
2013-12-06 , 	1030.00
2013-12-07 , 	1030.00
2013-12-08 , 	1030.00
2013-12-09 , 	1030.00
2013-12-10 , 	1030.00
2013-12-11 , 	1030.00
2013-12-12 , 	1030.00
2013-12-13 , 	1030.00
2013-12-14 , 	1030.00
2013-12-15 , 	1030.00
2013-12-16 , 	1030.00
2013-12-17 , 	1030.00
2013-12-18 , 	1030.00
2013-12-19 , 	1030.00
2013-12-20 , 	1030.00
2013-12-21 , 	1030.00
2013-12-22 , 	1030.00
2013-12-23 , 	1030.00
2013-12-24 , 	1030.00
2013-12-25 , 	1030.00
2013-12-26 , 	1030.00
2013-12-27 , 	1030.00
2013-12-28 , 	1030.00
2013-12-29 , 	1030.00
2013-12-30 , 	1030.00
2013-12-31 , 	1030.00
2014-01-01 , 	1960.00
2014-01-02 , 	1960.00
2014-01-03 , 	1960.00
2014-01-04 , 	1960.00
2014-01-05 , 	1960.00
2014-01-06 , 	1960.00
2014-01-07 , 	1960.00
2014-01-08 , 	1960.00
2014-01-09 , 	1960.00
2014-01-10 , 	1960.00
2014-01-11 , 	1960.00
2014-01-12 , 	1960.00
2014-01-13 , 	1960.00
2014-01-14 , 	1960.00
2014-01-15 , 	1960.00
2014-01-16 , 	1960.00
2014-01-17 , 	1960.00
2014-01-18 , 	1960.00
2014-01-19 , 	1960.00
2014-01-20 , 	1960.00
2014-01-21 , 	1960.00
2014-01-22 , 	1960.00
2014-01-23 , 	1960.00
2014-01-24 , 	1960.00
2014-01-25 , 	1960.00
2014-01-26 , 	1960.00
2014-01-27 , 	1960.00
2014-01-28 , 	1960.00
2014-01-29 , 	1960.00
2014-01-30 , 	1960.00
2014-01-31 , 	1960.00
2014-02-01 , 	2040.00
2014-02-02 , 	2040.00
2014-02-03 , 	2040.00
2014-02-04 , 	2040.00
2014-02-05 , 	2040.00
2014-02-06 , 	2040.00
2014-02-07 , 	2040.00
2014-02-08 , 	2040.00
2014-02-09 , 	2040.00
2014-02-10 , 	2040.00
2014-02-11 , 	2040.00
2014-02-12 , 	2040.00
2014-02-13 , 	2040.00
2014-02-14 , 	2040.00
2014-02-15 , 	2040.00
2014-02-16 , 	2040.00
2014-02-17 , 	2040.00
2014-02-18 , 	2040.00
2014-02-19 , 	2040.00
2014-02-20 , 	2040.00
2014-02-21 , 	2040.00
2014-02-22 , 	2040.00
2014-02-23 , 	2040.00
2014-02-24 , 	2040.00
2014-02-25 , 	2040.00
2014-02-26 , 	2040.00
2014-02-27 , 	2040.00
2014-02-28 , 	2040.00
2014-03-01 , 	3580.00
2014-03-02 , 	3580.00
2014-03-03 , 	3580.00
2014-03-04 , 	3580.00
2014-03-05 , 	3580.00
2014-03-06 , 	3580.00
2014-03-07 , 	3580.00
2014-03-08 , 	3580.00
2014-03-09 , 	3580.00
2014-03-10 , 	3580.00
2014-03-11 , 	3580.00
2014-03-12 , 	3580.00
