UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	ont	
# m applied d		
2013-12-19 , 	1200.00
2013-12-20 , 	1200.00
2013-12-21 , 	1200.00
2013-12-22 , 	1200.00
2013-12-23 , 	1200.00
2013-12-24 , 	1200.00
2013-12-25 , 	1200.00
2013-12-26 , 	1200.00
2013-12-27 , 	1200.00
2013-12-28 , 	1200.00
2013-12-29 , 	1200.00
2013-12-30 , 	1200.00
2013-12-31 , 	1200.00
2014-01-01 , 	1140.00
2014-01-02 , 	1140.00
2014-01-03 , 	1140.00
2014-01-04 , 	1140.00
2014-01-05 , 	1140.00
2014-01-06 , 	1140.00
2014-01-07 , 	1140.00
2014-01-08 , 	1140.00
2014-01-09 , 	1140.00
2014-01-10 , 	1140.00
2014-01-11 , 	1140.00
2014-01-12 , 	1140.00
2014-01-13 , 	1140.00
2014-01-14 , 	1140.00
2014-01-15 , 	1140.00
2014-01-16 , 	1140.00
2014-01-17 , 	1140.00
2014-01-18 , 	1140.00
2014-01-19 , 	1140.00
2014-01-20 , 	1140.00
2014-01-21 , 	1140.00
2014-01-22 , 	1140.00
2014-01-23 , 	1140.00
2014-01-24 , 	1140.00
2014-01-25 , 	1140.00
2014-01-26 , 	1140.00
2014-01-27 , 	1140.00
2014-01-28 , 	1140.00
2014-01-29 , 	1140.00
2014-01-30 , 	1140.00
2014-01-31 , 	1140.00
2014-02-01 , 	1040.00
2014-02-02 , 	1040.00
2014-02-03 , 	1040.00
2014-02-04 , 	1040.00
2014-02-05 , 	1040.00
2014-02-06 , 	1040.00
2014-02-07 , 	1040.00
2014-02-08 , 	1040.00
2014-02-09 , 	1040.00
2014-02-10 , 	1040.00
2014-02-11 , 	1040.00
2014-02-12 , 	1040.00
2014-02-13 , 	1040.00
2014-02-14 , 	1040.00
2014-02-15 , 	1040.00
2014-02-16 , 	1040.00
2014-02-17 , 	1040.00
2014-02-18 , 	1040.00
2014-02-19 , 	1040.00
2014-02-20 , 	1040.00
2014-02-21 , 	1040.00
2014-02-22 , 	1040.00
2014-02-23 , 	1040.00
2014-02-24 , 	1040.00
2014-02-25 , 	1040.00
2014-02-26 , 	1040.00
2014-02-27 , 	1040.00
2014-02-28 , 	1040.00
2014-03-01 , 	1200.00
2014-03-02 , 	1200.00
2014-03-03 , 	1200.00
2014-03-04 , 	1200.00
2014-03-05 , 	1200.00
2014-03-06 , 	1200.00
2014-03-07 , 	1200.00
2014-03-08 , 	1200.00
2014-03-09 , 	1200.00
2014-03-10 , 	1200.00
2014-03-11 , 	1200.00
2014-03-12 , 	1200.00
2014-03-13 , 	1200.00
2014-03-14 , 	1200.00
2014-03-15 , 	1200.00
2014-03-16 , 	1200.00
2014-03-17 , 	1200.00
2014-03-18 , 	1200.00
2014-03-19 , 	1200.00
2014-03-20 , 	1200.00
2014-03-21 , 	1200.00
2014-03-22 , 	1200.00
2014-03-23 , 	1200.00
2014-03-24 , 	1200.00
2014-03-25 , 	1200.00
2014-03-26 , 	1200.00
2014-03-27 , 	1200.00
2014-03-28 , 	1200.00
2014-03-29 , 	1200.00
2014-03-30 , 	1200.00
2014-03-31 , 	1200.00
2014-04-01 , 	4590.00
2014-04-02 , 	4590.00
2014-04-03 , 	4590.00
2014-04-04 , 	4590.00
2014-04-05 , 	4590.00
2014-04-06 , 	4590.00
2014-04-07 , 	4590.00
2014-04-08 , 	4590.00
2014-04-09 , 	4590.00
2014-04-10 , 	4590.00
2014-04-11 , 	4590.00
2014-04-12 , 	4590.00
2014-04-13 , 	4590.00
2014-04-14 , 	4590.00
2014-04-15 , 	4590.00
2014-04-16 , 	4590.00
2014-04-17 , 	4590.00
2014-04-18 , 	4590.00
2014-04-19 , 	4590.00
2014-04-20 , 	4590.00
2014-04-21 , 	4590.00
2014-04-22 , 	4590.00
2014-04-23 , 	4590.00
2014-04-24 , 	4590.00
2014-04-25 , 	4590.00
2014-04-26 , 	4590.00
2014-04-27 , 	4590.00
2014-04-28 , 	4590.00
2014-04-29 , 	4590.00
2014-04-30 , 	4590.00
2014-05-01 , 	2400.00
2014-05-02 , 	2400.00
2014-05-03 , 	2400.00
2014-05-04 , 	2400.00
2014-05-05 , 	2400.00
2014-05-06 , 	2400.00
2014-05-07 , 	2400.00
2014-05-08 , 	2400.00
2014-05-09 , 	2400.00
2014-05-10 , 	2400.00
