UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	ont	
# daily lwa			
2013-05-10 , 	74.86
2013-05-11 , 	74.87
2013-05-12 , 	74.87
2013-05-13 , 	74.87
2013-05-14 , 	74.87
2013-05-15 , 	74.88
2013-05-16 , 	74.88
2013-05-17 , 	74.88
2013-05-18 , 	74.87
2013-05-19 , 	74.87
2013-05-20 , 	74.87
2013-05-21 , 	74.88
2013-05-22 , 	74.88
2013-05-23 , 	74.89
2013-05-24 , 	74.89
2013-05-25 , 	74.90
2013-05-26 , 	74.90
2013-05-27 , 	74.90
2013-05-28 , 	74.90
2013-05-29 , 	74.93
2013-05-30 , 	74.94
2013-05-31 , 	74.94
2013-06-01 , 	74.95
2013-06-02 , 	74.98
2013-06-03 , 	74.99
2013-06-04 , 	74.99
2013-06-05 , 	74.99
2013-06-06 , 	75.01
2013-06-07 , 	75.03
2013-06-08 , 	75.03
2013-06-09 , 	75.04
2013-06-10 , 	75.05
2013-06-11 , 	75.08
2013-06-12 , 	75.09
2013-06-13 , 	75.10
2013-06-14 , 	75.12
2013-06-15 , 	75.12
2013-06-16 , 	75.14
2013-06-17 , 	75.15
2013-06-18 , 	75.15
2013-06-19 , 	75.15
2013-06-20 , 	75.15
2013-06-21 , 	75.15
2013-06-22 , 	75.15
2013-06-23 , 	75.16
2013-06-24 , 	75.15
2013-06-25 , 	75.15
2013-06-26 , 	75.16
2013-06-27 , 	75.16
2013-06-28 , 	75.16
2013-06-29 , 	75.16
2013-06-30 , 	75.16
2013-07-01 , 	75.15
2013-07-02 , 	75.16
2013-07-03 , 	75.16
2013-07-04 , 	75.16
2013-07-05 , 	75.16
2013-07-06 , 	75.16
2013-07-07 , 	75.16
2013-07-08 , 	75.16
2013-07-09 , 	75.17
2013-07-10 , 	75.17
2013-07-11 , 	75.17
2013-07-12 , 	75.16
2013-07-13 , 	75.16
2013-07-14 , 	75.15
2013-07-15 , 	75.15
2013-07-16 , 	75.14
2013-07-17 , 	75.14
2013-07-18 , 	75.14
2013-07-19 , 	75.14
2013-07-20 , 	75.17
2013-07-21 , 	75.16
2013-07-22 , 	75.14
2013-07-23 , 	75.13
2013-07-24 , 	75.13
2013-07-25 , 	75.12
2013-07-26 , 	75.10
2013-07-27 , 	75.10
2013-07-28 , 	75.10
2013-07-29 , 	75.08
2013-07-30 , 	75.08
2013-07-31 , 	75.08
2013-08-01 , 	75.08
2013-08-02 , 	75.08
2013-08-03 , 	75.08
2013-08-04 , 	75.07
2013-08-05 , 	75.07
2013-08-06 , 	75.06
2013-08-07 , 	75.05
2013-08-08 , 	75.05
2013-08-09 , 	75.05
2013-08-10 , 	75.04
2013-08-11 , 	75.03
2013-08-12 , 	75.02
2013-08-13 , 	75.02
2013-08-14 , 	75.01
2013-08-15 , 	75.00
2013-08-16 , 	74.99
2013-08-17 , 	74.98
2013-08-18 , 	74.98
2013-08-19 , 	74.97
2013-08-20 , 	74.96
2013-08-21 , 	74.95
2013-08-22 , 	74.94
2013-08-23 , 	74.94
2013-08-24 , 	74.93
2013-08-25 , 	74.92
2013-08-26 , 	74.92
2013-08-27 , 	74.92
2013-08-28 , 	74.92
2013-08-29 , 	74.92
2013-08-30 , 	74.91
2013-08-31 , 	74.90
2013-09-01 , 	74.90
2013-09-02 , 	74.90
2013-09-03 , 	74.90
2013-09-04 , 	74.88
2013-09-05 , 	74.87
2013-09-06 , 	74.86
2013-09-07 , 	74.85
2013-09-08 , 	74.84
2013-09-09 , 	74.83
2013-09-10 , 	74.83
2013-09-11 , 	74.83
2013-09-12 , 	74.83
2013-09-13 , 	74.82
2013-09-14 , 	74.80
2013-09-15 , 	74.79
2013-09-16 , 	74.78
2013-09-17 , 	74.76
2013-09-18 , 	74.75
2013-09-19 , 	74.74
2013-09-20 , 	74.74
2013-09-21 , 	74.74
2013-09-22 , 	74.75
2013-09-23 , 	74.74
2013-09-24 , 	74.73
2013-09-25 , 	74.72
2013-09-26 , 	74.71
2013-09-27 , 	74.71
2013-09-28 , 	74.70
2013-09-29 , 	74.69
2013-09-30 , 	74.68
2013-10-01 , 	74.67
2013-10-02 , 	74.67
2013-10-03 , 	74.66
2013-10-04 , 	74.66
2013-10-05 , 	74.66
2013-10-06 , 	74.66
2013-10-07 , 	74.66
2013-10-08 , 	74.66
2013-10-09 , 	74.66
2013-10-10 , 	74.66
2013-10-11 , 	74.65
2013-10-12 , 	74.65
2013-10-13 , 	74.64
