UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2013-11-09 , 	183.40
2013-11-10 , 	183.43
2013-11-11 , 	183.43
2013-11-12 , 	183.41
2013-11-13 , 	183.39
2013-11-14 , 	183.40
2013-11-15 , 	183.39
2013-11-16 , 	183.38
2013-11-17 , 	183.40
2013-11-18 , 	183.45
2013-11-19 , 	183.41
2013-11-20 , 	183.39
2013-11-21 , 	183.40
2013-11-22 , 	183.41
2013-11-23 , 	183.42
2013-11-24 , 	183.39
2013-11-25 , 	183.38
2013-11-26 , 	183.40
2013-11-27 , 	183.39
2013-11-28 , 	183.37
2013-11-29 , 	183.37
2013-11-30 , 	183.38
2013-12-01 , 	183.37
2013-12-02 , 	183.38
2013-12-03 , 	183.38
2013-12-04 , 	183.37
2013-12-05 , 	183.39
2013-12-06 , 	183.39
2013-12-07 , 	183.38
2013-12-08 , 	183.38
2013-12-09 , 	183.37
2013-12-10 , 	183.39
2013-12-11 , 	183.38
2013-12-12 , 	183.38
2013-12-13 , 	183.37
2013-12-14 , 	183.34
2013-12-15 , 	183.35
2013-12-16 , 	183.34
2013-12-17 , 	183.35
2013-12-18 , 	183.35
2013-12-19 , 	183.35
2013-12-20 , 	183.34
2013-12-21 , 	183.34
2013-12-22 , 	183.32
2013-12-23 , 	183.33
2013-12-24 , 	183.31
2013-12-25 , 	183.31
2013-12-26 , 	183.33
2013-12-27 , 	183.32
2013-12-28 , 	183.33
2013-12-29 , 	183.32
2013-12-30 , 	183.32
2013-12-31 , 	183.34
2014-01-01 , 	183.32
2014-01-02 , 	183.31
2014-01-03 , 	183.28
2014-01-04 , 	183.32
2014-01-05 , 	183.33
2014-01-06 , 	183.35
2014-01-07 , 	183.34
2014-01-08 , 	183.32
2014-01-09 , 	183.29
2014-01-10 , 	183.28
2014-01-11 , 	183.31
2014-01-12 , 	183.28
2014-01-13 , 	183.30
2014-01-14 , 	183.31
2014-01-15 , 	183.29
2014-01-16 , 	183.26
2014-01-17 , 	183.30
2014-01-18 , 	183.28
2014-01-19 , 	183.30
2014-01-20 , 	183.29
2014-01-21 , 	183.28
2014-01-22 , 	183.26
2014-01-23 , 	183.29
2014-01-24 , 	183.27
2014-01-25 , 	183.31
2014-01-26 , 	183.28
2014-01-27 , 	183.30
2014-01-28 , 	183.27
2014-01-29 , 	183.26
2014-01-30 , 	183.27
2014-01-31 , 	183.25
2014-02-01 , 	183.25
2014-02-02 , 	183.25
2014-02-03 , 	183.25
2014-02-04 , 	183.25
2014-02-05 , 	183.25
2014-02-06 , 	183.23
2014-02-07 , 	183.23
2014-02-08 , 	183.24
2014-02-09 , 	183.24
2014-02-10 , 	183.23
2014-02-11 , 	183.22
2014-02-12 , 	183.22
2014-02-13 , 	183.23
2014-02-14 , 	183.25
2014-02-15 , 	183.24
2014-02-16 , 	183.24
2014-02-17 , 	183.23
2014-02-18 , 	183.23
2014-02-19 , 	183.24
2014-02-20 , 	183.23
2014-02-21 , 	183.23
2014-02-22 , 	183.27
2014-02-23 , 	183.27
2014-02-24 , 	183.26
2014-02-25 , 	183.25
2014-02-26 , 	183.24
2014-02-27 , 	183.26
2014-02-28 , 	183.23
2014-03-01 , 	183.25
2014-03-02 , 	183.24
2014-03-03 , 	183.24
2014-03-04 , 	183.24
2014-03-05 , 	183.24
2014-03-06 , 	183.22
2014-03-07 , 	183.23
2014-03-08 , 	183.24
2014-03-09 , 	183.23
2014-03-10 , 	183.23
2014-03-11 , 	183.24
2014-03-12 , 	183.24
2014-03-13 , 	183.22
2014-03-14 , 	183.23
2014-03-15 , 	183.24
2014-03-16 , 	183.23
2014-03-17 , 	183.22
2014-03-18 , 	183.22
2014-03-19 , 	183.23
2014-03-20 , 	183.24
2014-03-21 , 	183.23
2014-03-22 , 	183.24
2014-03-23 , 	183.23
2014-03-24 , 	183.22
2014-03-25 , 	183.22
2014-03-26 , 	183.22
2014-03-27 , 	183.22
2014-03-28 , 	183.24
2014-03-29 , 	183.23
2014-03-30 , 	183.22
2014-03-31 , 	183.23
2014-04-01 , 	183.23
2014-04-02 , 	183.25
